Date,Open,High,Low,Close,Adj Close,Volume
2006-10-02,2.682142972946167,2.7096428871154785,2.6535708904266357,2.6735711097717285,2.2789998054504395,712639200
2006-10-03,2.6589291095733643,2.676785945892334,2.613929033279419,2.645714044570923,2.255253553390503,790708800
2006-10-04,2.6464290618896484,2.694999933242798,2.6128571033477783,2.692142963409424,2.2948310375213623,829082800
2006-10-05,2.6617860794067383,2.7200000286102295,2.6475000381469727,2.672499895095825,2.2780864238739014,683883200
2006-10-06,2.6578569412231445,2.680000066757202,2.636070966720581,2.6507139205932617,2.259516477584839,466958800
2006-10-09,2.635714054107666,2.681428909301758,2.626070976257324,2.6653571128845215,2.2719979286193848,438222400
2006-10-10,2.6621429920196533,2.6635708808898926,2.609999895095825,2.636070966720581,2.2470340728759766,531588400
2006-10-11,2.622143030166626,2.6421430110931396,2.5928568840026855,2.615356922149658,2.229377269744873,571855200
2006-10-12,2.6289288997650146,2.692500114440918,2.628571033477783,2.687856912612915,2.291177749633789,592855200
2006-10-13,2.70107102394104,2.745713949203491,2.669286012649536,2.679286003112793,2.2838714122772217,684196800
2006-10-16,2.685357093811035,2.7100000381469727,2.6710710525512695,2.692857027053833,2.2954397201538086,508692800
2006-10-17,2.680000066757202,2.688214063644409,2.6442859172821045,2.6532139778137207,2.2616472244262695,480925200
2006-10-18,2.669642925262451,2.691786050796509,2.6396429538726807,2.6617860794067383,2.268953323364258,1133907600
2006-10-19,2.830713987350464,2.8553569316864014,2.791429042816162,2.821070909500122,2.404731273651123,1512977200
2006-10-20,2.820357084274292,2.856786012649536,2.809643030166626,2.8553569316864014,2.433957576751709,639413600
2006-10-23,2.856786012649536,2.924999952316284,2.8482139110565186,2.9092860221862793,2.4799270629882812,832507200
2006-10-24,2.9003570079803467,2.9171431064605713,2.864285945892334,2.8946430683135986,2.4674456119537354,463212400
2006-10-25,2.9053568840026855,2.9285709857940674,2.893213987350464,2.9171431064605713,2.4866251945495605,485214800
2006-10-26,2.924999952316284,2.950000047683716,2.8975000381469727,2.935357093811035,2.502150297164917,432756800
2006-10-27,2.919642925262451,2.944643020629883,2.8575000762939453,2.871786117553711,2.4479613304138184,594966400
2006-10-30,2.856786012649536,2.8892860412597656,2.8392860889434814,2.872143030166626,2.448265314102173,499917600
2006-10-31,2.9089291095733643,2.9171431064605713,2.865356922149658,2.895714044570923,2.4683585166931152,501474400
2006-11-01,2.8964290618896484,2.9064290523529053,2.7985711097717285,2.8271429538726807,2.4099063873291016,611192400
2006-11-02,2.818571090698242,2.8328568935394287,2.8035709857940674,2.820713996887207,2.4044268131256104,465483200
2006-11-03,2.8342859745025635,2.8403570652008057,2.7782139778137207,2.7960710525512695,2.383420705795288,431888800
2006-11-06,2.819643020629883,2.859286069869995,2.8010709285736084,2.8467860221862793,2.4266514778137207,434576800
2006-11-07,2.87321400642395,2.892857074737549,2.861785888671875,2.875356912612915,2.4510061740875244,525932400
2006-11-08,2.8578569889068604,2.953213930130005,2.8532140254974365,2.944643020629883,2.510066032409668,690916800
2006-11-09,2.960714101791382,3.0246429443359375,2.932857036590576,2.976428985595703,2.537160873413086,923053600
2006-11-10,2.983928918838501,2.9857139587402344,2.9464290142059326,2.9685709476470947,2.5304627418518066,373864400
2006-11-13,2.9721429347991943,3.016071081161499,2.9514288902282715,3.012500047683716,2.56790828704834,450674000
2006-11-14,3.0285708904266357,3.0357139110565186,2.996428966522217,3.0357139110565186,2.5876970291137695,588954800
2006-11-15,3.0374999046325684,3.067857027053833,3.0,3.00178599357605,2.558776617050171,655323200
2006-11-16,3.0310709476470947,3.0821430683135986,3.0221428871154785,3.057499885559082,2.6062674522399902,693940800
2006-11-17,3.0407140254974365,3.0692861080169678,3.0357139110565186,3.066071033477783,2.613574266433716,466424000
2006-11-20,3.049999952316284,3.107142925262451,3.0428569316864014,3.0882139205932617,2.632448434829712,570794000
2006-11-21,3.122143030166626,3.164285898208618,3.1110711097717285,3.164285898208618,2.697293758392334,622666800
2006-11-22,3.1782140731811523,3.2410709857940674,3.137500047683716,3.2253570556640625,2.749352216720581,671941200
2006-11-24,3.197499990463257,3.3242859840393066,3.1964290142059326,3.2725000381469727,2.7895374298095703,518677600
2006-11-27,3.303929090499878,3.3271429538726807,3.1964290142059326,3.197856903076172,2.725909948348999,1074836000
2006-11-28,3.2271430492401123,3.2846429347991943,3.211071014404297,3.2789289951324463,2.795018196105957,1036173600
2006-11-29,3.3214290142059326,3.3267860412597656,3.2232139110565186,3.2785708904266357,2.7947120666503906,1157083200
